image_id,side,top_ratio,vertical_span,density,texture_std,green_saturation,green_dominant_ratio,grass_px
1221636963391434,left,0.4876,0.3923,0.043,28.94,0.2706,0.7875,117775
1221840835994856,left,0.5375,0.4926,0.1152,32.41,0.5,0.5298,315121
1222361489859604,left,0.497,0.461,0.1472,22.86,0.4857,0.8971,402807
1225207659536401,left,0.4827,0.4575,0.0943,26.29,0.451,0.7131,258101
1225518635580641,left,0.4881,0.4585,0.0679,30.89,0.3968,0.6893,185786
1225548615569853,left,0.4946,0.459,0.0887,27.3,0.5094,0.9301,242707
1226488015482280,left,0.497,0.4792,0.1114,30.06,0.3778,0.7737,304868
1226531866233741,left,0.5321,0.4896,0.163,39.71,0.5,0.8257,446007
1226818189359854,left,0.4807,0.4644,0.0904,23.1,0.3699,0.7989,247320
1226822896220294,left,0.5539,0.5534,0.176,25.76,0.3924,0.6698,481567
1227298688867659,left,0.5356,0.4906,0.0953,33.02,0.2982,0.6135,260870
1227801422636991,left,0.5361,0.4916,0.1327,31.38,0.506,0.8779,363075
1228294712822645,left,0.4807,0.459,0.1105,15.73,0.5625,0.8151,302472
1229842465789719,left,0.6018,0.5618,0.1789,26.69,0.3333,0.3413,489645
1230142282515745,left,0.498,0.4501,0.0621,22.59,0.3077,0.8475,170033
1230740032588600,left,0.5059,0.4694,0.0869,27.86,0.4128,0.9223,237912
1231899548870959,left,0.5188,0.3152,0.1151,20.52,0.337,0.801,314900
1231915968296598,left,0.5064,0.4708,0.1274,20.01,0.4565,0.9065,348649
1233888445353818,left,0.5044,0.4659,0.086,30.15,0.5044,0.9001,235399
1233895852008694,left,0.4921,0.4615,0.1091,28.15,0.4286,0.9086,298418
1235274375376155,left,0.5366,0.4921,0.0831,27.84,0.4667,0.6955,227331
1237183595176429,left,0.5415,0.4896,0.1451,22.29,0.3119,0.4826,397112
1237453895248152,left,0.5208,0.4862,0.1229,24.67,0.44,0.8828,336378
1238806488228455,left,0.5143,0.4822,0.0604,21.59,0.4048,0.8703,165285
1240547667967998,left,0.5805,0.5519,0.1701,24.77,0.45,0.8316,465469
1240748481309412,left,0.5232,0.4946,0.094,33.29,0.4483,0.7778,257269
1241060564613822,left,0.5351,0.4995,0.1271,29.34,0.4231,0.8179,347851
1241707617840143,left,0.4901,0.4664,0.0862,26.19,0.5124,0.82,235893
1241742487869599,left,0.5776,0.5479,0.1632,29.3,0.3571,0.3345,446605
1241779121174527,left,0.4911,0.4466,0.1319,19.52,0.5143,0.9324,361055
1242100554569858,left,0.5064,0.461,0.1206,20.52,0.4384,0.7689,329918
1242547261115958,left,0.504,0.4812,0.1168,24.28,0.4935,0.9066,319515
1244432070926266,left,0.5109,0.4753,0.0455,27.47,0.4048,0.6559,124568
1245915684107293,left,0.5267,0.4526,0.1287,31.0,0.3739,0.9181,352109
1246701300736224,left,0.5563,0.5267,0.1758,28.13,0.4857,0.8057,481100
1247223527285630,left,0.5015,0.456,0.123,24.38,0.3474,0.8955,336563
1248298340550513,left,0.5188,0.4941,0.1427,25.07,0.4559,0.6122,390617
1248416537209403,left,0.4847,0.4526,0.1007,29.73,0.5,0.821,275609
1248812113787884,left,0.4783,0.4466,0.0935,24.69,0.4265,0.8796,255851
1248962827127188,left,0.5341,0.5128,0.119,27.42,0.4694,0.7339,325647
1249663227050544,left,0.538,0.4901,0.1091,31.29,0.5517,0.6931,298649
